,keluhan
9065,kepada yth ibu risma tolong di bantu layan urus akte lahir di lurah gunung anyar tidak bisa scan offline pending padahal kalau lambat kena denda sita waktu kerja saya demikian untuk di tindak lanjut terima kasih
9066,lanjut keluh saya tadi pagi barusan saya dari camat tenggilis mejoyo untuk cek e-ktp istri saya an yuliatinik 3517184410820002sesampai di sana oleh tugas di suruh cek ke dispenduk dan pada kertas ambil beri tulis biometic atau kalau tidak di suruh aju ulang bagaimana ini solusi terima kasih
9067,
9068,berapa lama urus surat pindah keluar surabaya
9069,
9070,mohon sampai kepada mas kait untuk wilayah panjang jl kenjeran - jl kapas - jl gembong - jalan bisa tambah pohon dan tanam yang rindang karena di wilayah sebut sangat panas dan gersang pada siang hari - arus lalu lintas sering macet panjang hingga sampai ke arah kenjeran empat lampu lalu lintas suramadu area surabaya utara juga perlu perhati untuk tambah jumlah pohon yang rindang karena pada siang hari di area surabaya utara rata sangat gersang terima kasih
9071,mohon infosaat ini cara administrasi saya warga kec tegalsari tetapi domisili di kec wonocolo karena ada anggota di kk yg tinggal saya pending utk ngurus pindah ingat urus ktp butuh waktu yg lama ngurusnya cepat nunggu ktp jd yg lama gimana harus ngurus baru kk dulu ato ngurus pindah
9072,parkir truk mobil tahun tahun kanan kiri panjang jl tapak siring pacarkeling dkt kec tbsari
9073,
9074,saya sudah rekam ektp skitr 2 thn yg lalu nik 3578090210840004 dan ktp lama mau expired 2 minggu ektp kata baru bs jd 3 bln lg ini yg slh birokrasi atau apa kata kalau bas elektronik bisa cepat birokrasi mohon tanggap akan hal ini terima kasih
9075,jalan raya ketintang utama di daerah rel kereta api sering macet kalau sudah macet bisa sampai jam arus lalu lintas tidak gerak ini parah sekali mungkin karena banyak bangun liar sekitar situ mohon pemkot surabaya segera tindak lanjut ingat tidak ada akses lain tuju ke arah ketintang baru dbl dan sekitar tanpa lalu jalan sebut terima kasih atas perhati
9076,
9077,saya sudah punya e-ktp kalimantan kemudian saya pindah di surabaya dan aju ubah alamat dan status e-ktp telah saya cek di http dispendukcapil surabaya go id cekniksby e-ktp saya sudah daftar di database dispenduk surabaya tetapi ketika ke camat e-ktp saya belum apa yang hrus saya laku karena saya butuh ktp untuk buat paspor dan dalam waktu dekat saya mau berangkat nik saya 6471035911910003
9078,
9079,mohon di sampai ke dinas kait bahwa ada jalan yg ambles tepat di tengah2 tiga antara jl wonorejo selatan - jl pandugo - jl raya medayu utara sdh di kasih patok dari balok kayu oleh warga sekitar cukup bahaya karena posisi ambles ada di tengah tiga dan jala sempit serta ramai lalu lalang kendara
9080,
9081,kami beri masuk agar kasus bayi rujuk tidak ulang benar kami milik inkubator bayi yang sangat lengkap masuk sdh ada alat bantu nafas dan respirasi dalam juga monitor pasien dan inkubator sebut bisa di bawa ke ambul seperti kondisi nicu jalan saat rujuk mohon tanggap ibu walikota
9082,saya sudah foto rekam e-ktp apakah harus minta surat terang dari awal mulai rt rw lurah kemudian baru bisa ke camat sementara saya kerja di luar pulau sempat cuti sangat harga untuk manfaat urus e-ktp sendiri dan rt tidak selalu ada di tempat masuk yang lain yang bisa laku dalam satu hari kerja dulu waktu urus ktp blanko e-ktp kosong dan saya harus kembali untuk proses e-ktpnya bagaimana baik
9083,belum saya sudah laku rekam e-ktp dan sudah jadi karena saya rubah status dalam ktp jadi e-ktp saya tarik dan ganti dengan ktp yang bentuk lama upa laminating yang ingin saya tanya adalah apakah saya laku proses e-ktp mulai dari awal atau cukup datang camat saja mohon informasi
9084,mohon bantu tangan ulat bulu lokasi jadi jalan ciliwung balai rw 15
9085,
9086,aplikasi ini harus sudah cukup bagus tapi sayang hanya cepat dalam jawab lisan saja kasihan pihak operator yang jawab keluh warga sby karena tidak bareng dengan sistem tegas pihak pimpin dalam meng-eksekusi bijak dampak masih banyak masalah mangkrak tidak selesai moga pemimpin2 di sby bisa rendah hati utk ajar dari sistem di ibukota jakarta yang sangat cepat dalam eksekusi tegas hadap pns tidak all out dalam kerja
9087,ingin ikut bpjs yang ada jamin hari tua
9088,
9089,selamat sore mau tanya kapan realisasi laksana hasil musrenbang thn 2015 mana rw i jemur andayani aju pju yg tuju oleh skpd kait kami sangat butuh terang pju krn di waktu malam cahaya remang2 shg potensi rawan kriminal dan asusila terima kasih
9090,
9091,mohon jelas bangun balai rw atau pos paud henti rw 6 rungkut kidul pesantren
9092,selmat siang lapor di jl diponegoro lebih tepatx di depan rumah sakit st vcntius rkzt pas pojok lampu mrah tikung ada tiang listrik telkom yg tdk tanam hnya ikat di pagar sm kain dan kabel sprtix ini bisa membhayakan guna jalan baik pjalan kaki kendara
9093,
9094,tenda sangat ganggu karna terlalu maju ke jalan raya sudah di beri surat peeingatan satpol pp 2x tapi tetap saja tidak mau bongkar tenda mohon untuk segera di tindak lanjut
9095,
9096,saya sudah laku rekam data ektp sejak 2 tahun lalu lebih malah ini data sudah ada tinggal cetak saja koq ya ndilalah selesai masih januari 2017 ini salah planning salah laksana salah perangkat apa malah salah saya sih
9097,mohon di perhati jalan raya pandugo paling ujung timur deket taman pandugo dan tiga antara jalan pandugo dengan jalan wonoayu ada bekas gali pgn yg tidak segera di tuntas jalan jadi sempit dan lumpur ketika hujan seperti pagi hari ini mohon di tegur untuk pgn agar segera di aspal ulang sesuai lebar jalan terima kasih
9098,
9099,wilayah rw 1 rt 7 manuk wetan di jl sikat akses smp 47 belah barat depan manuk madya gang 3 samping smk bahari manuk wetan salur ambles sehinga dinding salur patah awal ada eru pdam dan pdam janji kembali seperti mula tapi nyata di sisi barat jalan sikat sebut tdk kembali secra sempurna akibat ambles panjang jalur sebut sampai titik yg kita sampai jadi ambles dan patah dinding salur mohon perhati dan tindak lanjut oleh dinas yang kait terima kasih
9100,
9101,rekam e ktp sudah 2 tahun tanya jadi nya kapan masih 2 januari 2017 iki sing bacut sopo sakjane pak buk duh
9102,mohon di cek speaker keras suara tet tot tet tot tl seberang di jl kedung asem menyebrangi merr tuju jalan pandugo tidak bunyi kalau lampu nyala normal mohon tombol di cek semua baik yg dari kedung asem ke pandugo maupun balik tks
9103,
9104,selamat pagi saya mohon bantu untuk aman lokasi sekitar kawasan ampel ada polusi suara saat jam malam polusi suara sebut asal dari lagu dengan suara tinggi yg nyala di area giri depan lampu penyebrangan terminal pariwisata sunan ampel polusi suara sebut menggangu pada jam11malam sampai jelang subuh polusi suara sebut kurang etis karena wilayah sebut sdh masuk kawasan pariwisata yg nuansa religi tidak ada gambar jadi krn malam hari bantu bapak ibu akan sangat kami harga belum saya ucap terima kasih
9105,
9106,tolong bapak ibu jabat warga di sekitar nyamplung ganggu dengan ada nya musik keras yg nyala saat kami butuh istirahat musik itu sampai bengkak telinga kami sekitar jam22 00-sblm subuh area bising itu daerah terminal religi sunan ampel lurah ampelkecamatan mampir maaf tdk ada foto krn gelap saat jadi
9107,
9108,mohon bantu utk tangan ganggu di wilayah giri sekitar kantor madam bakar giri tiap mlm sekitar jam23 00-02 00 jadi ramai yg asal dr musik dangdut kami bagai warga sangat ganggu krn di jam tsb waktu nya istirahat mohon segera tindak lanjut
9109,
9110,bln maret 2016 sy laku rekam e-ktp sama suami saya anugroho narotomo janji selesai 2-3bln akhir bulan juni 2016 ktp msh blm slsai sy hanya minta tulis no tlp yg bs hubung pada kertas bukti rekam dan kertas pun di ambil sbulan kemudian tepat 1 juli 2016 kembali ke kantor camat dan msh blm slsai hanya beri kertas bukti rekam e-ktp janji 1bln tengah agustus kembali ke kecamatn dan info bahan baku buat e-ktp habis krn kesal beri janji suami saya tuang dalam surabaya go id keluh tanggap info dr org rmh krn sy keluar kota ada org camat yg datang dan kami suruh ke camat segera mungkin krn akan beri tanda cepat urus hari ini 16 september 2016 sy datang lagi dng harap sdh selesai nyata tetap blm slsai dan info tidak orang pun org camat yg pernah datang krmh dan tidak pernah ada kata2 cepat yg keluar pihak camat knp e-ktp lama sekali knp sampai berbulan2 ingat kalau mau ngurus macem2 kudu pake e-ktp juga kan sbg info nik saya dan suami sdh daftar pada dispenduk online
9111,mohon pihak pemkot surabaya segera baik jalan beji pdam pakal sebut karena sudah sangat parah mohon segera baik
9112,
9113,saya sudah punya e-ktp kalimantan kemudian saya pindah di surabaya dan aju ubah alamat dan status e-ktp telah saya cek di http dispendukcapil surabaya go id cekniksby e-ktp saya sudah daftar di database dispenduk surabaya tetapi ketika ke camat e-ktp saya belum apa yang hrus saya laku karena saya butuh ktp untuk buat paspor dan dalam waktu dekat saya mau berangkat
9114,saya ingin aju keluh kena buat ektp di surabaya mana kata bahwa buat ektp dari luar domisili bisa laku mulai dari tanggal 1 april 2016 namun dari dispenduk surabaya kata mereka belum bisa terima buat ektp dari luar domisili padahal buat ektp akan akhir tanggal 30 september mohon ditindaklanjuti terima kasih
9115,
9116,apa benar parkir di taman prestasi surabaya tarif parkir rp 3000 - mohon jelas dan tindak lanjut dr pihak kait terima kasih
9117,
9118,tolong jukir di taman prestasi tindak karena tidak guna karcis dishub dan tarik besar 3000 rupiah tidak sesuai atur dan memang parkir bukan kelola swasta terima kasih atas perhati
9119,
9120,kapan ya surabaya ada terobos seperti ini bikin atau panjang sim cukup sms via wa http m jpnn com news php id 467158
9121,e-ktp hampir 2 tahun belum jadi
9122,aplikasi ini kalau buka di beberapa hp not responding tolong perhati jika anda sulit bisa tanya saya tentang sistem yang baik terima kasih
9123,assalammualaikum wr wb hubung dengan aju rusun di romokalisari saya hanya tanya akan jenis serah terima berkas yang tidak milik nomor urut dan kapan sosialisasi karena saya hanya dapat info akan di hubung via telepon saja saya sudah serah berkas sebut tanggal 29 agustus 2016 ingat rusun romokalisari yang masih sisa 2 blok sesuai informasi dari warga tempat perihal surat yang saya aju kepada walikota apakah tiap surat yang akan di sampai selalu di periksa dan di baca lebih dahulu oleh terima surat di bagi terima surat belum di serah kepada ibu walikota walaupun itu cara umum atau surat pribadi dari warga karena jujur saja saya kejut saat saya beri surat kepada ibu walikota surat yang sudah saya beri amplop dan di lem di buka kembali di depan saya tanpa ucap kata permisi akan buka surat sebut atas perhati saya ucap banyak terimakasih
9124,assalamualaikum saya ingin komplain kait dapat usaha sembako di samping rumah saya saya dan warga sekitar rasa ganggu akan parkir sembarang antara lain truck fuso truck engkel motor mobil hingga makan badan jalan serta akses keluar masuk rumah tiap saya dan warga lain akan tegur mereka selalu tidak hirau dan emosi selain itu juga banyak dapat limbah di dalam selokan jalan terkadang muncul bau tidak sedap seperti telur busuk dan kecoa kecoa yang liar di jalan hingga masuk ke rumah lalu pipa buang mohon untuk dinas kait segera mungkin selesai masalah ini terima kasih
9125,saat akan tambah jiwa di kartu keluarga ada salah satu anak yg kata nik nya terblokircara utk buka blokir ke rt rw kel n kec juga ke dispenduk krn yg bisa buka blokir pihak dispendukyg kami kecewakan1 kami tak tau nahu soal kenapa bisa salah satu nik terblokir2 jika seperti itu kan masalah intern dari lembaga perintah dispendukkenapa tak bisa selesai scr internal mereka apakah system catat masyarakat demikian rumit ingat sudah komputerisasi di semua lini mohon dapat ditindaklanjuti utk initerimakasih
9126,
9127,mau tanya td kakak saya urus surat mati almarhum bapak kami ke jl manyar kata kantor pindah ke siola kemudian kakak ke siola kata kantor belum jadi akhir kakak pulang gak dapat hasil mohon informasi kami harus mana terima kasih
9128,pagi ini saya pergi ke camat sukomanunggal dengan tuju ambil e-ktp perlu tahu bahwa saya keluarga telah laku rekam data di camat sukomanunggal lebih dari tahun kemudian saya beri slip ambil yg tera tgl 28-11-2016 saya tanya kpd tugas yg nama bp yuli dan beliau jelas bahwa memang jadi antri panjang di dispenduk surabaya dan camat sukomanunggal hanya beri jatah 25 ktp per hari sehingga perlu waktu lebih dari 3 bulan utk ambil e-ktp milik saya tanya saya dengan jatah hanya 25 ktp per hari makan butuh berapa tahun utk camat sukomanunggal proses semua e-ktp warga dan apabila ktp lama sudah akhir masa laku dan e-ktp belum juga kunjung jadi bagaimana nasib warga sukomanunggal apakah tdk ada jalan lain bagi dispenduk utk cepat proses e-ktp utk warga sby terimakasih
9129,
9130,tolong tanya untuk tarif parkir di igd rsud dr soetomo brp yang tera di karcis rp 1 000 namun pihak parkir minta rp 3 000 karena tahu saya lahan sebut adalah milik pemkot terima kasih
9131,istri saya milik no ktp 3578087101830002 telah laku rekam bagaimana lanjut
9132,
9133,mohon tanya saya sdh pernah dapat e-ktp namun di tengah jalan saya meni pisah kk dengan orang tua masuk data istri anak saya di kk baru namun untuk ktp yg baru meni sy dapat ktp biasa bukan e-ktp dari camat tanya saya untuk dapat e-ktp saya hrs mana hal ini jg jadi pada ibu saya karena ada tulis data yg salah di e-ktp ibu saya kembali e-ktp nya ke lurah sampai saat ini beri ktp laminating juga bukan e-ktp mohon bantu terima kasih
9134,limbah di kali wonorejo sudah seperti salju mohon tindak tegas dari pemkot
9135,
9136,pju di jl jambang kebonagung ii kalo siang masih nyala
9137,
9138,terima kasih karena telah beri jawab atas ktp el bagaimana nasib ktp cetak istri saya untuk selesai masalah biometrik apa bisa telah tanggal 30 september ingat kami keluarga mesti cari waktu yang pas untuk laku urus di surabaya
9139,selamat malam saya irvan mau wadul bu kalo di deket rumah saya lokasi jalan tenggilis kaum ii masuk dalam wilayah camat tenggilis mejoyo dan lurah tenggilis mejoyo ada tanah kosong bekas pasar bakar tau saya itu tanah milik perintah saya ingin tempat itu di buat taman saja atau pasar malam mohon di tindak lanjut bu terimakasih
9140,
9141,tembok batas jl darmo indah selatan blok jj ambrol akibat banjir pada musim hujan tahun lalu sampai saat ini belum ada tangan dari pihak kait kami sudah lapor kepada urus rt rw tempat namun belum ada tindak lanjut turut info dari urus rt rw tempat itu adalah tanggung jawab warga apakah benar karena turut saya tembok batas itu adalah jalur hijau yg posisi tanah agak tinggi sehingga bentuk tembok mohon bantu dari pihak kait terima kasih
9142,kenapa ya kerja pegawai lurah kertajaya kok gk sepenuh hati apalagi ini saat ngurus ktp yg blokir saya cek di camat nyata alamat ganda wes capek capek ngurus gk tau gk sepenuh hati kerja tolong di koordinasi biar warga surabaya dapat layan yg baik terima kasih
9143,
9144,assalamu alaikum ada keluh yaitu jalan di jalan jagir wonokromo sampai jalan panjang jiwo banyak lubang dan gak rata hal ini ganggu nyaman kendara motor dan dapat sebab celaka kendara yg dpt sebab korban jiwa harap dinas pu tuk baik jalan sebut wassalamu alaikum
9145,
9146,sudah bulan lebih complain soal jalan rusak di lingkung rumah saya status nya sedang di tindak lanjut nyata nya sampai sekarang tidak ada tindak lanjut apa2 mohon perhati soal jalan rusak ini lokasi panjang jalan wisma permai barat v sampai ke jalan raya belah restoran crazy crab
9147,
9148,saya ingin keluh kembali keluh saya karena keluh saya belum bom jawab keluh sebut adalah ada jalan lubang yang cukup lebar tepat di jalan arief rachman hakim tepat depan convention center lebar kurang lebih sekitar 1m persegi hal ini akan bahaya pasti bila genang air di musim hujan tolong segera tindak lanjut
9149,
9150,beberapa bulan lalu istri saya aan supriatin laku rekam ktp el di camat gubeng tapi saat mau ambil sekitar tengah juli kata tugas ada masalah bibliometric dan saran ke disdukcapi kami telah kesana tapi sayang nya waktu kami kesana sedang ada masalah server yang buat kami harus tunggu yang saya tanya ktp el istri saya sudah bisa ambil atau belum ingat kami hari - hari aktivitas di jogja
9151,sy urus akta mati suami sy sy online di lurah ngagel rejo krn lewat dispenduk siola langsung tdk boleh oleh tugas sy online tgl 25 8 16 sampai hari ini 6 9 16 banyak belum ada kabar apa2 sy hub via tlp tdk pernah nyambung akte itu sangat kami perlu untuk beberapa urus tks moga ada tanggapn no daftar 415 an yudo tria
9152,
9153,keluarga sy baru urus akte mati di lurah gading kec tambak sari dan info akte baru terbit telah 10 hari kerja benar lama itu padahal tugas sudah guna e-kios yg pernah info di media hanya butuh waktu 3 hari kerja kalau cara konvensional 7 hari kami ditawarin juga utk bayar 400rb jika ingin lebih cepat itu sudah masuk legalisir 15 lbr benar spt itu info akte a n marius pontoan no daftar 2348013016mohon bantu terimakasih
9154,
9155,saya mau aju keluh hadap jalan yang ada di sekitar merr tuju panjang jiwo jalan yang ada di sana sangat lah gelombang dan lubang dan juga kurang terang saat di malam hari saya mohon pihak perintah kota surabaya dapat dengan cepat tangan masalah ini karena sangat bahaya bagi kendara motor yang lintas di malam hari terima kasih
9156,
9157,tolong ibu walikota surabaya untuk tertib layan di camat mulyorejo kota surabaya karena tugas yang ada layan baik di depan bagi terima berkas yang bagi operator komputer kalau berkas tidak ada uang jadi lama dan kalau ada bisa cepat tidak sampai waktu yg tentu dan banyak birojasa kalau sore datang operator baik itu yang resmi tidak resmi alias berkas bodong tak doa aja supaya ibu walikota surabaya mau dengar dan nasehat anak buah maksud jangan sampai keduluan bpk ombusman wassalam mualaiku
9158,
9159,ada dua hal yang ingin sy wadulkan sini 1 masalah e-ktp yang kata per 1 oktober laku dan ktp lama tidak laku saya sudah 3 thn rekam sampai sekarang belum dapat hari ini sy ke camat tambaksari untuk cetak nyata harus nunggu 2 bulan lagi yg arti per 1 november baru bisa ambil bukti lampir 2 sy laku proses tambah jiwa karena lahir tp sejak tgl 14 agustus 2016 yang kata kk baru akan antar ke alamat rumah kata tugas 1 minggu sampai sekarang hampir 3 minggu belum kirim bagaimana ini bu risma
9160,
9161,selamat siang saya ingin kofirmasi untuk urus e-ktp hilang prosedur bagaimana karena saya tanggal 22 juli 2016 ke camat mulyorejo untuk laku cetak ulang e-ktp dan saya di informasi untuk datang lagi 1 bulan pada tanggal 22 agustus 2016 saya ke camat kata e-ktp saya belum jadi nanti telp dulu saja minggu ke no hp bpk wahyu minggu lebih saya coba hubung tidak angkat sama sekali dan saya coba telp ke kantor camat langsung kata saya minta datang lagi ke camat atau hubung pak wahyu langsung saya seperti di ping pong akhir saya coba telp ke dispenduk ke nomor 031-5318916 ada yang angkat saya minta ke tunjung lt 3 7hari kerja lalu saya tanya kalau hari sabtu jam berapa layan tidak jawab dan tutup saya coba telp kembali tidak bisa semua apakah urus e-ktp memang butuh waktu yang lama jika iya berapa lama apakah memang dari pihak camat maupun dispenduk tidak terima layan telp dari warga mohon konfirmasi dan terima kasih
9162,
9163,selamat pagi ibu risma dan dinas pu mohon jalan gelombang yang makin parah di depan kantor camat krembangan belum lampu merah dapat segera baik sebab 3 bulan yang lalu ada celaka di tempat itu yang akibat korban wanita tinggal saya yakin pemkot tidak akan pernah abai tugas mulya ini demi selamat warga terima kasih atas respon cepat
9164,
9165,selamat sore bapak ibu saya mau sampai keluh ada jalan rusak dan lubang hingga genang air di jalan darmo baru barat arah ke sukomanunggal dan plasa segi 8 rusa jalan ini sangat bahaya bagi kendara motor bisa saja sampai jadi celaka di jalan sebut jika musim hujan datang dan jalan lubang sebut genang air hujan sehingga tidak lihat jika kita lewat di jalan sebut kemudian di jalan sebut selalu banjir saat musim hujan saya harap perintah kota surabaya dapat menindaklanjuti baik jalan lubang sebut terima kasih
9166,
9167,rabu pagi 6 4 saya berangkat ke sekolah untuk ikut uji nasional dengan guna sepeda onthel karena saya tinggal di kutisari dan sekolah lokasi di tanggal saya lewat jalan dekat yaitu siwalankerto saya kemudian menyebrangi jl ahmad yani dengan manfaat lampu seberang yang sudah sedia tapi begitu mau menyebrang frontage road fr yang makin ramai saya binggung soal kendara rata lintas dengan cepat tinggi akhir saya lawan arus susur arah ahmad yani untung saya lihat dua polisi saya pun seberang oleh mereka saya harap di frontage road sebut nanti ada lampu penyebrangan bagi para pejal kaki
9168,
9169,selamat pagi saya ingin sampai keluh saya tentang lubang jalan yang di ada di jalan taman gayung sari timur no 3 depan indomaret
9170,
9171,merr selalu macet di tiap pagi khusus di stikom nirwana tugas stand by di lampu merah saja simpul macet ada di putar balik ini jalan dengan proyek box culvert yg serentak kerja yg paling tidak masuk akal adalah jembatan meer ini jembatan bongkar lagi dan bangun ulang padahal masih baru jalan ini apakah belum tidak ada planning bangun yg laku ingat bangun ini sangat amat rugi banyak pihak 1 uang yg guna untuk bangun dan bangun ulang sangat boros bangun 2x2 guna jalan sangat rugi dengan macet yg terjadimohon tanggap
9172,
9173,pju jl tilang belakang eks- lp kalisosok udah 1 minggu ini ada beberapa titik yg padam mohon utk segera baik terima kasih
9174,
9175,saat ini warga baruk utara paksa beli stiker yg cetak rw tempat besar 10rb stiker unt mobil motor apa hal ini boleh bgmn tanggung jawab uang
9176,kami warga kaliasin pompa dan sekitar keluh parkir liar kaliasin pompa surabaya sering kami sampai keluh tp tanggap akan kami tertib kapan apalagi sekarang ada baik gorong2 tapi parkir tetap ada malah mereka beri tanda larang masuk padahal kalau gak ada parkir mobil masih bisa masuk atas tuju siapa mereka tutup jalan enak mohon solusi baik sudah banyak postingan tentang parkir dan kaki lima kaliasin pompa yang sangat2 rugi warga sekitar mohon perhati
9177,mohon bantu untuk mediasi atau komunikasi dengan tetangga saya yg nama bapak ibu happy babatan pilang x no 5 wiyung agar bisa tempat mobil pribadi di garasi rumah atau di tempat lain yg tidak ganggu kami bagai tetangga di depan rumah karena mobil bapak ibu happy ini halang kami untuk keluar rumah mana kami yang harus bisa langsung belok kiri ke jalan besar dengan tempuh jarah hanya 50 meter namun kami harus belok kanan lewat jalan belakang untuk bisa muter ke gang depan ini sebab kami hilang lebih banyak waktu ke kantor serta hilang lebih banyak bensin pernah sekali waktu di ujung gang ada mobil juga yg halang jalan dan milik babatan pilang x no 35 sedang tidur sehingga kami tunggu 10-15 menit sampai milik mobil bangun dan pindah mobil agak ke depan mobil bapak ibu happy ini hanya pajang di jalan depan rumah panjang hari dan tiap hari benar mereka punya garasi dan saya sudah coba beberapa kali bicara hal ini dengan mereka namun tidak gubris jalan umum rupa jalan sama dan bukan tempat parkir mobil mohon agar bisa pikir penting orang lain teman saya yang betul satu gang sudah coba lapor ke pak rw 005 namun bapak rw malah suruh kami kumpul 10 tanda-tangan warga supaya kavling rumah yg tidak pakai bisa jadi tempat parkir bukankah harus bapak rt atau rw yang diskusi hal ini dengan warga kenapa malah kami yg suruh kumpul tanda tangan dan olah hal sebut rupa inisiatif dari kami kavling rumah sebut juga ada milik dan bukankah harus minta ijin dulu belum pakai mohon agar lapor saya dapat segera ditindaklanjuti karena hal ini sangat ganggu kami terima kasih banyak atas bantu
9178,selamat sore1 mohon perhati dan tertib parkir dan pasar malam di sekitar stasiun wonokromo sbb kita lewat jalan depan nya cuman kasih tengah bahu jalan macet ini jadi malam hari apalagi kalau ada datang kereta api di stasiun wonokromo tambah parah 2 dan juga mohon tata ulang serta di perhati lay out dari keluar tumpang kereta api di stasiun wonokromo mana area parkir dengan pintu keluar sangat jauh di tambah lagi parkir liar di depanyasilahkan di cek dan ricek di stasiun wonokromoasap as soon as posible yaa terima kasih
9179,e ktp belum jadi
9180,kepada yth dkp dan dishub kota surabayamohon perhati agar jembatan seberang orang yg hubung jl unda wetan dan jl unda kulon baik yg di depan rs adi husada unda wetan maupun yg di dekat tiga jl mas soenjoto beri lampu terang di atas jembatan tepat di atas kali unda yg saat ini gelap dan rawan jahat demikian agar saran saya ini dapat segera realisasi terimakasih perhati
9181,
9182,sungai di daerah mulyosari sangat kotor padahal sudah keruk beberapa waktu lalu mohon dari pemkot surabaya ditindaklanjuti
9183,
9184,bu risma mohon bantu e-ktp saya tidak kunjung cetak padahal telah janji terima mei 2016 akhir 29 agustus 2016 belum ke kec sukolilo telah saya hub by phone lebih dahulu dari pihak kec sukolilo kata ktp saya telah selesai dan bisa langsung ke camat nyata telah tiba dan tunggu 1 jam kec sukolilo kata e-ktp saya belum ada silah datang besok atau labnngsung ke dispenduk belum saya telah ke dispenduk tetapi kerja cetak yang lambat dan layan tidak sesuai dengan no antri nik ktp 3578091103860003 mohon bantu karena ktp saya sudah expired dan ingin laku urus panjang stnk sim dll
9185,
9186,saya dulu pernah rekam e ktp sejak pertama laku tp sampai sekarang ga jadi trus tengah bulan juli kemarin ke camat mau perekeman ulang tp kata tugas ga perlu rekam karena sudah ada data cuma kasih tanda trima tgl 27 agustus suruh ambil tp tgl 27 kemarin saya datang ke camat masih belum jadi di kasih tanda trima lg suruh nunggu 10 hr lagi tolong perhati
9187,
9188,selamat siang bibi saya sudah tinggal dlm daftar anggota kk hanya ada nama saya dan bibi saya yg tinggal tsb almarhumah status janda tidak punya anak 1 bagaimana cara urus akta mati maksdnya siapa yg hrs ngurusnya di kantor lurah nama saya tdk dpt guna sbg lapor dlm kk almarhumah adl kepala keluarga dan saya adl keponakan 2 apakah bisa cabut nama almarhumah dari kk tanpa akta mati terimakasih tunjuk
9189,
9190,saya dan istri rekam ektp tgl 27 maret 2012 karena sampai hari ini gak pernah ada wujud ya ektp atas nama saya maka hari ini saya ke kantor camat gunung anyar janji ektp saya akan jadi kurang lebih 2 bulan lagi padahal rame berita ktp lama masa laku hanya sampai 30 september 2016 bagaimana ini
9191,
9192,mohon jelas dari instansi kait khusus aparat camat kenjeran dan dispendukcapil kota surabaya hubung dengan proses buat e-ktp saya yang hampir 1tahun tanpa jelas tahun 2013 saya sudah laku rekam data di kantor camat kenjeran tetapi sampai denga tahun 2014 saat saya urus administrasi untuk perlu meni dan sampai dengan hari ini e-ktp saya tidak kunjung cetak pada 13 juni 2016 saya sama suami coba ecek status e-ktp kami hasil kami beri kitir dengan terang saya tinggal tunggu proses cetak saja dan suami harus melakulan rekam data ulang di kantor dispendukcapil pada 14 juli 2016 saya datang kantor camat kenjeran dan hasil untuk e-ktp saya mundur 1bulan yakni tgl 14 agustus 2016 sedang milik suami mundur 3bulan hitung tanggal 14 oktober 2016 tgl 25 agustus 2016 saya kembali datang kantor camat kenjeran hasil luar biasa tunjuk kerja dan sdm aparatur perintah yang hebat data saya kosong dan saya harus rekam data ulang di kantor dispendukcapil tanya saya kenapa 1 bulan yang lalu sampai hanya tunggu proses cetak apakah sudah benar kerja mereka dan mengapa saya tidak saran juga untuk rekam data ulang di bulan juni untuk antisipasi hal seperti ini kalau masalah kecewa saya sudah habis kecewa dengan model kerja aparat negara yang seperti ini yang ingi saya laku apakah ada lembaga yang bisa bantu saya untuk aju tuntut atas kerja hebat aparat perintah yang sudah rugi waktu dan tenaga untuk warga seperti saya yang upaya jadi warga yang baik dengan kali laku rekam data e-ktp dan tolong pasti e-ktp saya akan cetak atau tidak
9193,
9194,tanya tabayyun assalamualaikum e-wadul dan dinas kait apakah benar tarif parkir di pasar wonokromo dtc yg hadap ke stasiun wonokromo tarif parkir sepeda motor rp 3000 - karena kemarin tgl 5-9-2016 saya kena tarif segitu atas perhati dan tindak lanjut saya ucap terima kasih wassalamualaikum
9195,
9196,selamat siang mohon pulau jalan di tiga jl ton timur dan jl pasar kembang baik hilang karena jadi bottle neck tiap hari terima kasih
9197,
9198,mohon jelas nya 1 saya ingin aju rumah susun sederhana sewa apa saja syarat nya dan di serah di kantor mana untuk aju rusunawa bagi warga sby yg kurang mampu harap di mudah krna saya dengar butuh waktu yg lama hinga tahun terimakasih
9199,kena keluh saya belum yang saya tuju kepada dinas pu bmp sby dengan ini saya atas nama pribadi parfita yolanda ucap mohon maaf yang besar atas salah paham saya hadap dinas pu bmp sby utama rayon genteng serta rayon gubeng dan ceroboh saya yang telah kirim keluh ini tanpa tahu dan ijin suami saya yang kerja bagai satgas dinas pu bmp moga mohon maaf saya ini dapat terima dengan ikhlas lahir batin oleh pihak dari dinas pu bmp sby demikian mohon maaf dari kami parfita yolanda terima kasih
9200,mohon cerah 1 ktp saya msh konvensional2 bgmn prosedur urus e-ktp 3 saya blm pernah rekam e-ktp4 almt saya sudah pindah tdk lagi almt seperti di ktp apa skalian urus surat pindah
