,keluhan_clean
7758,selamat malam bapak ibu saudara admin pihak kait baca surat media center saya salah satu mahasiswa guru tinggi surabaya keluh salur air panjang jalan arief rahman hakim daerah putih sukolilo beberapa waktu lalu sisi utara jalan gali pasang beton - beton salur air entah hingga hari saya tulis surat kondisi nya bengkalai tepat depan masjid besar putih lobang cukup besar cukup akibat proyek salur air bengkalai lobang cukup makan badan jalan beberapa hari lalu warga tutup lobang tumpu pasir tidak bahaya kendara banyak titik jalan arief rahman hakim daerah putih jadi sempit akibat macet prime time jelas bahaya kendara lintas daerah harap dengan saya tulis surat ada tindak lanjut cepat tepat dinas pihak kait masalah saya rasa bapak ibu pimpin kota cinta tidak butuh waktu lama menindaklanjuti masalah sepele ini salam warga kota surabaya
7759,selamat pagi beberapa waktu lalu tanggal 24 desember 2014 hotel paprika kirim surat dinas hubung kait keluar masuk parkir tamu hotel paprika jl genteng besar no 20 sampai hari kami dapat tindak lanjut dinas hubung mohon tanggap terima kasih
7760,selamat malam pak mau lapor pju depan jalan simomulyo baru 1g 1h padam 2 hari nyala pak soal sekarang musim hujan banyak maling liar tolong segera tindak lanjut mohon ini pak terima kasih
7761,say ikut latih komputer syarat apa dan lokasi blc mana
7762,panjang jalan pulo wonokromo jadi garasi mobil permanen shg pakai jalan nyaman bahaya
7763,bagaimana cara aju terang lampu jalan kampung di wil bandarejo 3 rt 07 rw 05 gang nusa indah sakura sedap malam pada malam hari lihat gelap
7764,mohon informasi utk masalah fogging dbd harus tunggu pasien yg jangkit dulu bukankah cegah lebih baik obat mohon jelas dinas kait hal terima kasih
7765,kepada satpolpp kot surabaya tertib warung karaoke pkl sisi jembatan suramadu karna lama pkl warung karaoke sebut warga tiap hari rasa ganggu suara musik tau waktu tiba nya sholat
7766,salam mohon bantu ada tegas perintah kota surabaya tertib tindak larang tukang parkir ada gang pompa samping tunjung plaza kota surabaya tidak manfaat jalan ada gang pompa tersebutsebagai aktifitas parkir area wassalam
7767,pju wilayah simo sidomulyo gg 6 gg 7 banyak yg padam mohon cek
7768,direksi pd pasar utama direktur bina dagang mohon masalah bersih pasar kapas beri perhati masalah dagang asong minum keliling makin rajalela atur jual enak sendiri bawa gledekan keliling teriak sopan santun segera tertib ganggu menciderai rasa adil dagang sudah investasi kios kontribusi sedang dagang asong sebut modal gledekan bahkan duga pungli isa jual enak sendiri
7769,jalan wonorejo timur arah wisata mangrove rusak lubang besar tutup genang air khusus depan pangkal taxi orenz depan man ini arus lalu lintas warga lancar bahaya kemudi motor mohon segera baik bangun salur air panjang jalan tambah aspal tebal atas perhati kerjasamanya ucap terima kasih
7770,keluh mohon baik pju jl wonorejo selatan iv selatan mati
7771,mohon segera sambung pipa pdam tuju rusun romokalisari sudah 4 bulan belum sambung hari
7772,sayang area parkir sebrang rumah sakit siloam gubeng pungut parkir rp 3 000 sepeda motor yang lebih parah karcis parkir ini sangat tidak sesuai atur mohon tindak lanjut terimakasih
7773,assalamualaikum pak rudy warga surabaya perak beri informasi sekaligus harap perintah kota surabaya segera tindak lanjut kait rusak akses jalan raya panjang jalan kalianak kerja swasta tiap hari lintas panjang jalan mulai batas gresik surabaya jalan raya belah tol romokalisari hingga perak jalan jakarta keluh bahkan mungkin warga rasa saya rasa rusak jalan panjang kalianak jalan greges sekitar banyak sekali jalan lubang lubang sangat bahaya pak tengah jalan kala hujan tergenangnnya air sebut buat banjir sangat buat macet bahaya jalan sepeda motor utama mohon pak sangat mohon akses jalan kalianak segera baik alir air lama baik kenang lama hingga hari hujan apa hujan tiap hari volume hujan tidak prediksi deras lama tambah jalan sebut mayoritas lintas truk besar panjang buat sangat butuh baik jalan lintas tiap hari pak mohon pak segera baik tinjau jalan kalianak greges sekitar kami bangga pak jadi warga kota surabaya perhati perintah surabaya sendiri moga amanah warga bapak perintah kota surabaya jadi amanah mampu tanggung jawab baik seluruh warga surabaya perintah aman damai sejahtera aamiin terima kasih pak maaf pak apabila ada kalimat yang kurang kenan saya tidak serta foto saya pernah sempat foto assalamualaikum
7774,tambah informasi keluh a n dwi setyo n dg notiket 255714628 posisi gali jalan arief rahman hakim surabaya timur toserba sakinah arah putih tegal timur sesuai lokasi googlemap lampir sekian smg segera respon positif terima kasih
7775,gali jalan arief rahman hakim putih sangat ganggu sekali 2 bulan mangkrak gali sebut macet kendara motor orang masuk lubang sebut mohon segera tindak lanjut terima kasih
7776,mohon tanggap lampu pju mati jalan sidotopo lor depan rumah belum pom bensin kalau arah kapas tuju arah giri kok ada baik lama situ gelap rugi warga mukim guna jalan khusus
7777,jalan arah mangrove rusak parah utama depan man tambah genang air jalan lihat mohon jalan baik di buat salur buang air genang terima kasih
7778,jalan dekat terminal bratang dekat lampu merah lubang besar biasa lalu kendaraaan sangat bahaya kendara sepeda motor maupun kendara
7779,lapor tiap hari malam hari pukul 22 00-04 00 banyak tukang becak enak memakirkan becak jalan ngaglik depan toko pukis banyumas parah tukang becak main remi uang taruh pesta miras bahas judi togel larang hukum laku indonesia sebab saya minta aparat kait tindak tegas tukang becak sebut telah resah warga ngaglik sekitar sisi buat becak sebut beri contoh tidak baik dampak buruk anak2x kecil ada jalan ngaglik sekitar
7780,sinoman harus di tiap rw se surabaya rujuk
7781,1 februari lalu lapor sini ada pohon besar roboh bahaya sidosermo ii airdas sby tadi 6 feb tim dkp surabaya laku potong pohon dan buang dibersihkanoeh dkp surabaya selatan i
7782,mau tanya kalo bau yg timbul salur kota akibat indikasi salur sebut kontaminasi limbah industri ke instansi mana utk minta cek kondisi salur tesebut terima kasih
7783,status keluh warga 1galian kecil 2 gali besar boxculvert nganga kelar tinggal hampir 2bulan mangkrak hujan lubang gali penuh air rata jalan tanda beri warga yang peduli pihak yang penting mohon tanggung jawab ats kerja sebut salampedulisurabaya
7784,selaku warga rasa berat ganggu timbul rumah play station jl untung suropati no 39 baik suara maupun giat mohon satpol pp mensurvey perijinan ganggu - ganggu timbul kami hidup wajar terima kasih
7785,ingin daftar rumah bahasa bagaimana cara
7786,lokasi blc mana syarat apa
7787,mau lapor kawasan endrosono sekarang makin banyak gudang besi tua aktivitas sangat ganggu warga 1 suara bising yg timbul gudang pagi siang jam orang beristirahat2 asap yg timbul dalam gudang tdk tau apa yg bakar sangat ganggu pernapasan3 terkadang rumah asa ada gempa besi besar datang 4 aktivitas gudang besi tua kawasan endrosono truk kontainer besar masuk kawasan sehingga macet parah untuk kali jadi celaka kontainer sepeda motor sebab korban tinggal dunia 5 jalan baik tetap lubang bila yg lewat truk kontainer besar padahal lampu merah giri arah pasuk kawasan karang tembok endrosono sudah ada larang truk larang masuk kami hidup dg aman nyaman sperti ada gudang2 tsb batas aktivitas pindah gudang kawasan industri cabut perijinan bangun gudang kawasan padat duduk
7788,mohon tertib bangun liar sudet kalimas daerah gubeng klingsingan gubeng masjid lingkung sangat sehat tidak layak
7789,dagang resmi sentra pkl wonorejo kebun bibit wonorejo sangat sayang tegas satpol pp yg tugas area dagang liar tetep aja dan makin bebas jual walaupun satpol pp sana malah kejut dengar informasi dagang liar area kebun bibit wonorejo bayar 20rb per orang per hari buat satpol pp yg tugas sana biar tindak mohon tanggap dgn benar dagang resmi modal masakan matang sering rugi dagang liar enak jual mohon tanggap sekali
7790,hendak tanya prosedur buat e-ktp ulang turut sangat ribet makan waktu lama mau cerita kronologis alam hilang ktp lalu urus hilang kantor polisi -- bawa lurah proses suruh balik habis makan siang jam 1 padahal sana jam 10 lalu surat mohon camat mohon sidak tiap lurah sering lurah keluyur khusus lurah sidosermo jadi suruh nunggu bukan pertama kali kali kali musti nunggu tanda tangan lurah yg sangkut tdk tempat terkadang malah balik hari ikut alasannnya kata rapat pergi dinas lah makan siang luar lah banyak sekali kalo kehadiannya sekali kali tdk masalah tiap kali lurah selalu -- baik cukup curhatan lurah lalu berangkat camat jam 2 30 sore situ kasih note balik camat ambil surat terang cepat dispendukcapil 2hari rabu kecamatan-jumat suruh balik -- jumat balik camat surat lalu liat situ tanda tangan bukan camat langsung tp lalu atas nama ka sie perintah jadi tanya nunggu 2 hari dpat surat 1 lembar kira nunggu 2 hari camat tdk tempat agenda keluar kota benar simpel mengeprint surat lalu aju pihak sie perintah tanda tangan selesai kasih orang ybs mungkin cuma buruh waktu tengah jam lama jadi heran kok neng pegawai camat nunda nunda kerja baik masih bsa sabar coba baik sangka -- langsung dispendukcapil manyar nyata pindah siola baik yg salah tdk tanya camat alamat yg baru pihak camat yg wajib kasih info -- langsung tiba siola waktu tunjuk pukul set 10 pagi tetot no antri urus e-ktp habis jam set 9 tiap hari batas 600 nomor antri coba cari informasi lantai 3 nyata masya allah lantai 3 penuh manusia yg nunggu timbul tanya benar apa yg laku kantor dispendukcapil coba cari tahu temu dgn salah satu tugas pegawai tanya bagaimana urus e-ktp sini prosedur apa yg laku sampau no antri sangat banyak beliau jawab jadi sini laku verifikasi data online cek nik nama data sambil lihat form online komputer jawab jadi orang orang ruang nunggu malam cek data nada tekan beliau jawab iya lanjut note buat ambil e-ktpnya camat paling cepat 7 hari paling lambat 14 hari balik tanya kok sekarang pak tdk laku tugas camat sekarang tugas ambil alih dispendukcapil beliau jawab iya dispendukcapil nilai efektif ektp ditanggani camat soal banyak warga yg blm ktp hingga bulan bulan lama pilih mana lama nunggu ngurus camat lama nunggu hari dispendukcapil kan pasti 7 hari jadi hati kata enggak enak dua pak sama sama ribet proses lalu timbul tanya kok kesan salah kerja camat bukan pecah sama kok malah ambil alih tugas banyak sekali tanya yg kepala proses nya lama bolak balik verifikasi laku dispendukcapil nanti ujung ujung balik ambil camat kenapa dispendukcapil kaji ulang prosedur urus e-ktp lihat banyak warga surabaya yg urus ktp tiap hari surabaya punya 2 9 juta duduk mampu tiap hari dispenduk urus banyak masyarakat malam malam senin-sabtu apa dispendukcapil tdk kasihan sama warga yg datang pagi pagi kantor buka supaya no antri awal kalau siang dikit no antri abis apa dispendukcapil hitung waktu yg buang warga izin kerja bolos kerja bolos kuliah datang dinas dispendukcapil rasa cuma 1 hari izin tdk kerja kantor dinas salah besar urus lurah camar hari bsa pasti izin kerja cukup hari apa dispendukcapil tdk kasihan pegawai yg harus kerja hingga maksimal pukul 8 9 malam tiap hari penuh target 600 warga rasa kerja dispendukcapil sangat banyak mulai urus ktp akta nikah akta lahir cerai surat pindah lain kenapa masih mau ambil tugas yg harus urus camat ektp kalau tugas ambil alih lantas tugas kerja camat apa cuma batas urus masalah surat antar kalau mending ditiadkan camat lurah di surabaya toh nanti urus laku langsung dinas kait sangat sayang sekali padahal surabaya punya 31 camat yg urus mas ktp saja baik akan kasih saran dispendukcapil bapak ibu kepala dinas dispendukcapil yg hormat bapak rasa prosedur urus ektp mudah warga mohon maaf kata salah besar pak justru makin ribet lama bolak balik saya rasa pihak dispendukcapil camat sama sama paham akar masalah lama warga dpat ektp tp bukan arti ambil alih seluruh tugas tsb saya tuju warga wajib pasti ektp dlm jangka waktu tapi yg saya tuju prosedur yg harus bsa lebih cepat efektif efisien warga pegawai dispendukcapil tahu surabaya punya 31 camat yg sangat di manfaat urus ektp bapak rasa verifikasi wajib laku dispendukcapil sifat sangat rahasia data bukan arti laku verifikasi kantor dinas suruh warga bondong bondong kantor dinas yg mungkin sangat jauh diam masing masing suruh warga tunggu ber jam jam lama hanya proses verifikasi data yg lama mungkin tdk 10 menit verifikasi bsa laku di camat masing masing kirim tempat 1-2 pegawai khusus dispendukcapil veridikasi data saya rasa sangat bsa terima baik dua belah pihak warga tidak jauh jauh siola cukup camat masing masing pegawai dispendukcapil juga tdk kewalahan urus warga tiap hari verifikasi bentuk online data langsung kirim simpan pusat server dispendukcapil untuk rencana print out ektp memang dispendukcapil takut kalau ekto tidak cetak proses print out ektp laku di dispendukcapil untuk pasti ektp cetak didustribusikan warga ybs ektp cetak kirim ke camat masing masing untuk ambil warga thats so simple saya rasa butuh waktu hanya 1 hari urus mulai kelurahan- camat untuk verifikasi tinggal nunggu 7hari buat ambil ektp ya itu semua gantung berapa lama urus lurah camat masing2 kalau lurah saya mungkin bsa 2 hari nunggu lurah kantor mohon maaf saya telah banyak cerita tanya ini itu tapi saya hanya usaha posisi bagai warga objek layan bijak atur yg buat perintah dlam ini dinas dan lembaga perintah lain dapat terima baik tidak warga dapat mudah justru sulit warga harap saya moga pegawai pemerimtahan dapat kerja dapat bagaimana mesti layan warga terima kasih moga bisa dengar terima sara
7791,assalamualaikum yth pihak pemkot surabayaselamat siang mau tanya sistem e-ktp baru bagaimana betul kok lamban sekali jaman serba teknologi lho dong teknologi jadi dukung butuh masyarakat 1 5 tahun lebihmengurus buat e-ktp awal tahun 2014 urus pindah mutasi alamat baru menikahtahun 2013 sudah baharu data foto lurah deka kebun bibit ngagel waktu itufoto e-ktp lurah mojo camat gubeng layan waktu sudah foto g kasih suratpengambilan e-ktp selang 1 tahun lebih ndak ambil informasi ambil 3 bulan waktu 2015 akhir kemarin pikir mau ambil sudah jadi nyata suruh nunggu 7 hari datang bom suruh datang dispenduk capil bagimana kenapa ndak informasi via sistem sms gitu lho kok mondar mandir kemarin bareng saya juga ibu2 tua kan kasihan maju jaman manfaat sudah 1 bulan sejak desember 2015 sekarang saya urus di dispenduk capil saya sudah dapet surat camat tanya dispenduk capil masih tanya tolong infromasi klo di cek kan saya kabar via smsuntuk urus e-ktp aja sampek hampir 2 tahun yaa terimakasih
7792,lampu pju jl ngagel mulyo 9 depan rumah no 21 nyala byar pet sangat ganggu bahaya mana banyak anak kecil main sana untuk dinas kait segera tindak lanjut atas perhati ucap terimakasih hormat kamudiedonk
7793,selamat sore warga jalan manuk mukti gang xii mana lihat gang sebut bekas lampu jalan kondisi sangat lama mati fungsi saya mohon dapat nyala lampu terang jalan kampung karna lama kampung lihat gelap karna tidak ada terang cukup apabila baik sebut lampu utama kurang saya mohon ada tambah unit lampu terang jalan kampung saya harap segera realisasi karna lama selalu jawab suruh tunggu dan sabar sedang kondisi mati lampu 10 tahun lebih terima kasih
7794,selamat pagi yth bpk ibu selaku urus kampung kal i ampai masalah e ktp mana banyak sekali warga yg sdh rekam e ktp masuk saya saya sdh aju data2 warga yg blm menerimah e ktp kantor lurah bukti foto copy ksk karna trsbt sdh sangat lama mohon kira gerah tindak lanjut nya hatur sekian terimakasih
7795,saat laku urus tambah jiwa lalu info lurah jemurwonosari kk blokir harus buka blokir dispenduk siola lalu laku buka blokir lapor lurah beres akte di proses selang 1 minggu ada info lurah kk saya blokir padahal 1 minggu lalu blokir di buka hal ini jadi jika saya tanya alas team dispenduk lurah selalu kata saya tidak tahu padahal bukan jawab saya mohon masalah birokrasi online di selesai mohon jawab nya
7796,warga putra agung gang ii rasa berat ganggung timbul industri rumah jl putra agung ii 21baik suara maupun giat mohon bapak satpol pp ecek perijinan ganggu - ganggu timbul kami hidup wajar terima kasih
7797,yth bp soekarwo ibu risma kepala dinas pu sbymohon segera baik kondisi jalan jl kalianak mulai depan pom bensin antariksa hingga depan gapura kampung kalianak timur gang lebar terus rusak gelombang tinggi khawatir rawan celaka kendara motor sekarang sering hujan banjir hilir mudik trailer matur nwun atas solusi baik warga surabaya usaha sabar selalu tiap jadi mohon problem jangan larut larut hingga timbul korban celaka percaya jabat pegawai kait sangat tahu masalah
7798,yth - pjs walikota surabaya- gubernur jawa timur bp dr h soekarwo- kepala balai besar laksana jalan nasional v jl raya waru no 20 sidoarjo tlp 031-8536607 - 031-8544494 assalamualaikum wr wbperkenankanlah nama achmad anwaralamat jl tandan lor no 11 surabaya tunjung telp 08880-35553-79nik 3578070812750001sebagai warga surabaya tiap hari lalu jl kalianak 1 maksud aju mohon jl kalianak mulai depan pom bensin antariksa depan gapura jl kalianak gang lebar hingga arah moro krembangan segera laksana baik 2 panjang jalan kalianak sebut aspal banyak gelombang tinggi maaf pak banyak sekali 3 resiko banyak warga pakai motor rawan jatuh truck trailer hilir mudik tiap waktu sekarang sering hujan licin tambah bahaya 4 korban banyak korban jatuh akibat jalan gelombang serempet truck trailer korban akhir saya tahu perempuan jatuh lindas truck trailer kendara motor jasad tepat bawah badan truck tkpnya belum lampu merah hotel antariksa arah kalianak celaka jadi bulan agustus 2015 lalu5 histori baik sejak bapak jadi gubernur periode sekarang belum pernah laksana baik sifat besar pernah laksana gerus aspal gelombang malah hasil aspal jadi kelok kelok bahaya laju sepeda motor 6 usul bila program baik sifat besar memang sulit lama laksana mungkin banyak kendala mohon laksana program baik sifat kecil rutin misal 3 bulan sekali cek baik terus terang bp gubernur aspal di jalan kalianak sering gelombang lubangdemikian surat ini saya buat dengan harap cepat kabul moga bp gubernur semua jajar balai besar laksana jalan nasional v selalu kuat jiwa raga alloh swt senantiasa layan warga surabaya jawa timur amiiin terima kasih atas perkenannyawassalamualaikum wr wbachmad anwar
7799,rencana ada giat tanam 1000 pohon surabaya harus hubung bagi mana tanya informasi lebih lanjut terima kasih
7800,sampah sidotopo wetan indah 2 tumpuk mohon perhati pihak kait segera cari solusi
7801,baik plengsengan sungai greges akibat kerja eru sungai sejak tahun 2015 panjang jalan tanggung no 107 s d 115 dua sisi ada realisasi masih pasang tahan
7802,mau lapor sekian kali kena air pdam yg pernah keluar rumah maupun tetangga2 berbulan2 air pdam sudah lapor pdam kait kata sudah keluar nyata para tetangga mau protes mereka pakai air sumur sedang saya yg tidak punya sumur tiap hari beli air isi ulang banyak galon mandi cuci2 tolong perintah segera tangan masalah dengan segera terima kasih
7803,jalan rel kereta api stasiun semut arah jalan cindil baik karna rusak parah 2 lubang besar sana bahaya mohon perhati karna sudah lama lubang tapi baik sekarang terima kasih
7804,jl kalianak 51 selalu banjir sumbat rusak jadi simpul macet luar biasa tiap musim hujan jalan kalianak bagai jalan propinsi sangat vital hal jadi tiap tahun tidak selesai pihak kait mohon di bantu selesai terima kasih media center
7805,jalan raya darmo harap utara ix depan tuban lama rusak parah mohon perhati trims
7806,yth kad pemkot surabayahasil musrenbang 2014 pelihara overlay jl krembangan baru rt 01 nilai 9 8 juta sekarang ada realisasi kemarin musrenbang 2016 tingkat lurah mulai warga tanya realisasi musrenbang 2014 tidak kerja sekarang musrenbang 2016 mohon jawab kad sangkut pj walikota sekarang terima kasih
7807,pohon tumbuh condong sidosermo ii airdas no 11 sb rawan roboh bahaya hartanto boechori pemred lintas patroli
7808,selamat pagi mohon segera baik air pdam macet sejak 6 bulan lalu jl sidonipa gang 5 surabaya kasihan warga sangat butuh atas respon cepat ucap terima kasih
7809,pemkot sby laku pasang box culvert jl simo wage sdh selesai akhir nov 2015 yg jadi kendala jalan sim wage tdk jadi mulus atas box culvert nya tdk tambal dg baik banyak lobang2 box culvert dg jalan yg lama beberapa kendara roda 2 sempat perosok jatuh jalan baik aspal rapi utama yg dekat dg jl banyuurip term kasih
7810,tombol seberang jalan depan bank muamalat seberang rs darmo jalan raya darmo alami rusa beberapa hari tidak fungsi
7811,mau tanya kena keluh ijin bangun buah rumah lingkung yang kami kirim skpd bagaimana prosedur
7812,jembatan mayangkara wonokromo bisa lalu r2 jam seperti flyover banyu urip bisa lalu r2 kapan saja padahal waktu berangkat pulang kerja kondisi jalan sangat padat tugas polantas lebih pilih jaga ujung jembatan larang r2 lintas jembatan mayangkara bukankah tuju utama bangun flyover sebut pecah macet bukan untuk jalan khusus pak kapolda pulang pergi ngantor
7813,baik jalan hubung desa ngemplak desa bungkal camat sambikerep di lanjut bengkalai keadaanya lebih parah bahaya belum baik mohon tindak segera terima kasih
7814,panjang jalan mayjend yono soewoyo - bukit darmo boulevard lubang sering kali makan korban akhir info kalo malam korban orang cewek luka parah helm pecah
7815,kontraktor proyek gorong2 tanggung jawab semua gorong2 tutup masuk depan rumah jl simo sidomulyo 8 no 32 mobil masuk garasi tutup gorong2 tidak panjang pintu garasi butuh 3 tutup pasang 2 kapan harus tunggu tutup mohon segera tutup gorong2 depan rumah agar dapat berkatifitas normal sangat ganggu sekali proyek yang tidak selesai
7816,yth dpubmp surabaya sejak beberapa tahun lalu jl gembong tebas selalu banjir turunhujan lebat hal karena memang waktu got salur air situ penuh sampah bulan terakhirini got sebut bersih saat hujan turun juga jadi banjir saat keruk padahal seberang kali barangkali salur tuju kekal sumbat mohon dpubmpbisa cari bersih sumbat sebut tidak jadi banjir terima kasih
7817,pju padam jl mayor baru 71 belah masjid jl krembangan mesigit 19 depan musholla mohon segera baik terima kasih
7818,selamat pagi tower jl raya darmo permai timur dekat gereja satelit belakang astra hr muhammad 5 tahun lebih diri turut terang warga tower sebut berijin banyak warga yang tidk tuju tower sebut mohon disurvey ditindaklanjuti terima kasih
7819,pju padam kurang lebih 3 hari panjang jl gundih 2 rw i mohon baik terima kasih
7820,sampah jalan sidotopo wetan bersih mohon tindak tegas perintah bila perlu sangsi hukum warga buang sampah enak masalah warga berani buang sampah depo sampah pasar sidotopo orang ada dekat depo sebut jaga larang warga buang sampah situ buang situ asal bayar sama praktek preman mohon tindak tegas orang sebut matur nuwun
7821,mohon bantu pemkot surabaya tertib kendara parkir sembarang pkl jalan banyu urip ini arus kendara arah jl diponegoro jl banyu urip jadi hambat bagi jalan guna pkl parkir kendara
7822,bagaimana cara ambil hak asuh cucu
7823,cara aju terang jalan kampung lebar 1 2 m mana lampu warga yg sedia tinggal alir listrik aja jumlah kurang lebih 12 biji masing masing 10 - 20 watt trima kasih
7824,terang jalan nomor 1 depan rumah jalan kendangsari ykp vi 48 lurah kendangsari camat tenggilis mejoyo kondisi mati mohon sangat baik krn warga sangat butuh utk terang lingkung aman lingkung terima kasih
7825,mau tanya mana alamat kantor koni surabaya kantor spora surabaya
7826,lampu pju ploso i padam mohon baik
7827,memberitahukan lampu pju jl tandan lor padam sekitar 4 minggu mohon segera baik terima kasih
7828,mau daftar blc bagaimana cara
7829,mohon lampu terang jalan depan kalikepiting 27 padam 1 minggu mohon baik
7830,sampah tepi sungai jl ketintang baru i dekat kfc jl a yani tumpuk mohon bersih
7831,sampah tepi sungai jl ketintang baru i dekat kfc jl a yani tumpuk mohon segera dibersihakan
7832,hendak lapor pinggir jalan kupang indah i sekarang jadi tempat buang sampah liar tempat buang air kecil masyarakat dan ini sangat ganggu bagai warga jalan kupang indah 2 tiap hari lewat jalan sebut sudah lapor sebut rt tempat turut rt lokasi sebut rupa tanggung jawab pemkot surabaya jadi tidak tahu harus lapor mana mohon tanggap dinas bersih surabaya bersih lokasi sebut terima kasih
7833,sampah jalan sidotopo wetan indah 2 no 17 tumpuk tumpu sampah sebut atas salur air kalau biar sampah sebut ganggu sehat warga akibat banjir tutup salur air warga sudah mampu tangan tumpu sampah tiap kali bersih lama tumpu sampah ada dan makin lama tumpu sampah makin gunung mohon segera dinas kait segera bersih dan angkut sampah sebut sangat ganggu matur nuwun
7834,rumah no 99 - 101 sangat ganggu suara musik keras tiap hari pagi karaoke rasa sayang blue fish jl tegalsari 97 istirahat ganggu larang berat mohon pasang redam suara sebut sampai keluar ganggu ruko no 103 pasang buat banyak jendela yang hadap rumah sehingga rasa risih tiap giat hari - hari selalu lihat orang yg ada gedung sebut turut gedung sebut tidak ada ijin pasang jendela yg hadap rumah tanah usaha datang nyata berat tetapi kami malah marah mohon pemkot satpol pp menindaklanjuti keluh kami ini terima kasih
7835,dear media center pemkot surabaya pertama kenal achmad supardi alamat cluster nice b32 rumah kota deltamas cikarang pusat kabupaten bekas adalah mantan wakil ketua rt 10 rw 4 lurah kapasari camat genteng sering pulang rumah sana ingin abar di rt sebut orang warga nama nurwati suam tentu tidak milik turun tidak milik kerja lama hidup bantu orang rumah petak tempat kini rusak parah lihat gambar di attachment sehat mental psikologis tidak 100 turut ia golong waras ia pernah milik kartu keluarga edisi lama warna merah ketika di surabaya masih catat bagai pilih pilih pernah bantu kalau tidak salah raskin sempat ini saya sangat harap ia bangun rumah sederhana sehat beri santun hidup ia hidup sebatangkara terimakasihsalam achmad supardi081217029016
7836,lapor lampu terang jalan no 1 jalan kendangsari ykp vi 48 surabaya nyala mati mohon segera baik sangat butuh terang aman lingkung atas perhati kerjasamanya ucap terima kasih
7837,yth pemkot surabaya dinas tata ruang mukim bpk eri cahyadi hormat selaku warga rt02 rw08 camat bulak surabaya akhir2 lingkung ganggu pabrik jl kyai tambak deres no 333 sby yg baru tempat lingkung dengan suara mesin keras yg sangat ganggu beberapa kali tegur lapor rt tempat buah hasil tanya ijin operasional pabrik sebut nyata pabrik sebut tidak punya ijin h o hinder ordonantie tanya apakah ijin h o buah pabrik operasi lingkung warga hingga ini pabrik tetap operasi ada tegur warga mohon perhatianya terimakasihtembusan - pj walikota surabaya - dprd surabaya - kasatpol pp surabaya
7838,pju jalan tuju rusun romokalisari 17 titik lampu padam kondisi jalan rusak parah rawan pada hujan banyak jalan lubang besar mohon perhati nasib di rusun romokalisari segala batas fasilitas umum yang sudah tempat tiga bulan
7839,ecek tanah surat ijo mana
7840,mau tanya kena lahan dekat rumah
7841,mau ikut latih komputer syarat apa
7842,pohon tiga jl kapas krampung - jl tambahrejo depan optik falit potong rambut 41 barat kaza city roboh tahan kabel telpon listrik keluh tulis ada tangan dinas kait jangan jadi jatuh korban
7843,dinas kait mohon pasar pinggir jln karang asem akses suromadu tertib sering jadi titik macet jln tambang boyo mohon lebar sering macet waktu jam brnangkat kantor terima kasih
7844,rumah jln lebak jaya 2 utara 22 barusan proyek box cluvert pemkot kondisi sekarang ketika hujan malah air hujan bisa alir salur air selokan seperti jadi air hujan luber dalam rumah tanggap tanggung jawab atas proyek sebut cepat terima kasih
7845,datang musim hujan banyak pohon tinggi lebat dapat bahaya masyarakat tiga jalan ngaglik beberapa pohon tinggi lebat ketika hujan deras dahan ratingnya sering jatuh akibat terlalu lebat tinggi sebab saya saran pohon tiga ngaglik segera laku potong tidak terlalu tinggi dapat minimal jadi tidak
7846,selamat siang mohon dinas kait tindak dg tegas pkl liar daerah danau unesa lidah dg enak nya buang sampah danau unesa buat danau penuh sampah karna pkl liar yg gk sadar bersih d tambah unjung danau suka buang sampah sembarang d kawasan bahkan hampir sedia bak tempat sampah d dekat sungai mohon di respon kbersihan tertib umum terima kasih
7847,siang mau lapor sekian kali kena air pdam yg pernah keluar rumah maupun tetangga2 berbulan2 air pdam sudah lapor pdam kait kata sudah keluar nyata para tetangga mau protes mereka pakai air sumur sedang saya yg tidak punya sumur tiap hari beli air isi ulang banyak galon mandi cuci2 tolong perintah segera tangan masalah dengan segera terima kasih
7848,yth pemkot sby benah manajemen pdam surabaya air rumah sy keluar kadang keluar dikit sy lapor kantor pdam pd tgl 15des ulang kali telpon pada hari lapor sudah tanggap belum tugas yg datang minggu apa tugas pdam mau layan langgan mohon tindaklanjuti
7849,assalamu allaikum bapak ibuditempat mau keluh layan air pdam daerah platuk donomulyo gang 13 sekitar sering mati listrik tempat sering mati tambah layan telkom juga buruk responnya lama harus tunggu hari hari bisa guna mohon tindak lanjut kami bayar tiap bulan rasa rugi sekian saya
7850,nama sy djoko kaharudin sy domisili daerah kesumba - soka daerah taman paliatif pd hari jumat 25 desember daerah hujan lebat akibat lampu pju daerah padam total malam hari senin 28 desember sy harap spy lampu pju baik spy ada tindak asusila onar taman paliatif dekat dengan malam ganti tahun terima kasih
7851,assalamu alaikum wr wb masuk salah satu warga surabaya belum milik tempat tinggal lama keluarga selalu pindah kost2 an harga selalu naik beberapa tanya ingin aju 1 mana bisa info rusun2 apa syarat bisa tempat rusun mohon info no hp saya xl 0878 5257 6212simp 0813 3206 3208
7852,yth dinas terkaitayah orang sopir bis pariwasata beberapa hari lalu beliau antar tumpang lewat jalan merr hendak putar balik beliau bingung di panjang jalan merr sebut rambu larang putar balik truk bus tiap belok mohon solusi bagaimana mana bis laku putar balik
7853,kapan plapon rusun penjaringansari blok c kerja plapon rusak parah banyak anak kecil main bahaya kayu pada kropos makan rayap
